ticker,source_ticker,price_available,rows,min_date,max_date,filename,news_rows,selected_default_universe
AAPL,AAPL,True,10852,1980-12-12,2023-12-28,AAPL.csv,9338.0,True
MSFT,MSFT,True,9526,1986-03-13,2023-12-28,MSFT.csv,8737.0,True
NVDA,NVDA,True,6275,1999-01-22,2023-12-28,nvda.csv,11862.0,True
AMZN,AMZN,True,6700,1997-05-15,2023-12-28,AMZN.csv,5060.0,True
GOOGL,GOOGL,True,3932,2004-08-19,2020-04-01,GOOGL.csv,1754.0,False
META,FB,True,2044,2012-05-18,2020-07-02,FB.csv,,False
TSLA,TSLA,True,3399,2010-06-29,2023-12-28,TSLA.csv,10587.0,True
JPM,JPM,True,11040,1980-03-17,2023-12-28,JPM.csv,2883.0,True
BAC,BAC,True,11949,1973-02-21,2020-07-02,BAC.csv,1811.0,False
XOM,XOM,True,13618,1970-01-02,2023-12-28,XOM.csv,7346.0,True
CVX,CVX,True,15605,1962-01-02,2023-12-28,CVX.csv,8688.0,True
COST,COST,True,9445,1986-07-09,2023-12-28,COST.csv,6781.0,True
WMT,WMT,True,12946,1972-08-25,2023-12-28,WMT.csv,8686.0,True
UNH,,False,0,,,,400.0,False
JNJ,JNJ,True,15605,1962-01-02,2023-12-28,JNJ.csv,2928.0,True
HD,HD,True,9770,1981-09-22,2020-06-19,HD.csv,4453.0,False
DIS,DIS,True,15605,1962-01-02,2023-12-28,DIS.csv,9654.0,True
NFLX,NFLX,True,4551,2002-05-23,2020-06-19,NFLX.csv,3028.0,False
AMD,AMD,True,11040,1980-03-17,2023-12-28,AMD.csv,9209.0,True
INTC,INTC,True,11040,1980-03-17,2023-12-28,INTC.csv,11157.0,True
QQQ,QQQ,True,6243,1999-03-10,2023-12-28,QQQ.csv,,False
SPY,SPY,True,7785,1993-01-29,2023-12-28,SPY.csv,,False
